index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability
0,10,30,100,-3.0,0.1,2,0.9048962831834548
1,8,50,100,-3.0,1.0,4,0.8058466130015058
3,3,50,140,-2.0,1.0,5,0.8321980660260091
4,6,30,100,-2.0,0.5,5,0.7507280845539677
5,7,50,90,-3.0,0.5,3,0.8838072497215907
6,5,60,130,-2.0,0.5,5,0.7643435550146711
7,9,60,90,-2.0,0.1,2,0.8352260920285693
8,4,40,130,-3.0,0.5,3,0.8832601361087096
9,8,60,90,-3.0,1.0,4,0.8439141916555165
10,4,20,90,-2.0,0.1,5,0.8166310627006306
11,10,60,150,-2.0,1.0,3,0.8851391054480755
12,2,60,100,-3.0,1.0,5,0.8569963138566186
13,6,20,100,-3.0,0.5,5,0.7757056086197743
14,4,60,130,-3.0,1.0,5,0.8670286453495335
15,5,50,150,-3.0,0.1,4,0.8567391006111569
16,10,60,90,-3.0,0.1,2,0.8464429141735506
17,2,30,120,-2.0,0.1,2,0.9456361444106788
18,6,30,120,-3.0,0.5,5,0.8503829670534199
19,4,20,100,-3.0,1.0,5,0.7559405934468275
20,10,40,110,-3.0,1.0,5,0.74618315516385
21,4,20,130,-3.0,0.5,3,0.867056127294229
22,5,50,110,-2.0,1.0,4,0.8700468451832273
23,9,20,110,-3.0,0.1,3,0.8654476850639723
24,8,40,130,-3.0,0.1,4,0.8377241749502782
25,5,60,140,-2.0,0.5,5,0.800197275224438
26,2,60,120,-3.0,1.0,5,0.8721392498025464
27,7,40,120,-3.0,0.5,5,0.8206799803474523
28,10,50,110,-3.0,0.5,5,0.7869351649658829
29,7,30,140,-3.0,0.5,2,0.9710619602221477
30,9,40,110,-2.0,1.0,5,0.7385719484584551
32,4,30,100,-2.0,0.1,4,0.8537961243804535
34,2,30,130,-2.0,0.1,5,0.7966695196126405
35,5,20,100,-3.0,1.0,3,0.8942810833024752
36,9,30,110,-2.0,1.0,5,0.8793262230481109
37,9,50,120,-3.0,1.0,3,0.7274996943124306
38,2,60,130,-3.0,0.5,5,0.8568934564569559
39,6,30,120,-2.0,0.5,4,0.8050241920087321
40,10,60,100,-3.0,1.0,5,0.8040995082994445
41,7,60,100,-2.0,0.1,2,0.8412843623711572
42,10,20,150,-3.0,1.0,2,0.9529050961650718
43,10,60,140,-2.0,1.0,3,0.826819957267742
44,2,40,150,-3.0,0.1,5,0.745184902104683
